Q ID	T/F question	Focus	URL	Sentence	Supporting (0-2)?
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://ww2010.atmos.uiuc.edu/%28Gh%29/guides/mtr/cld/prcp/home.rxml	Precipitation occurs in a variety of forms; hail, rain, freezing rain, sleet or snow.	2
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://ww2010.atmos.uiuc.edu/%28Gh%29/guides/mtr/cld/prcp/rnhl.rxml	Rain can also begin as ice crystals that collect each other to form large snowflakes.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://ww2010.atmos.uiuc.edu/%28Gh%29/guides/mtr/cld/prcp/rnhl.rxml	Hail is a large frozen raindrop produced by intense thunderstorms, where snow and rain can coexist in the central updraft.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://passporttoknowledge.com/storm/why/precipitation.htm	Height and temperature also determine whether any "precipitation" which results (from the Latin for "to fall from") will be rain or the hail associated with thunderstorms, or the snow, sleet and freezing rain we associate with winter weather.	1
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://passporttoknowledge.com/storm/why/precipitation.htm	If a snowflake falls through a region of the cloud where there's liquid water which coats the flake with more and more layers of new ice, you begin to get hail.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.weather.com/encyclopedia/winter/precip.html	They are rain, freezing rain, snow, and sleet.	1
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.weather.com/encyclopedia/winter/precip.html	Snow is frozen precipitation in the form of a six-sided ice crystal.	1
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.weather.com/encyclopedia/winter/precip.html	Sleet is frozen precipitation falling as ice pellets.	1
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.theweatherprediction.com/preciptypes/	Rain is liquid precipitation that reaches the surface in the form of drops that are greater than 0.5 millimeters in diameter.	2
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.theweatherprediction.com/preciptypes/	Sleet (Ice Pellets) are frozen raindrops that strike the earth's surface. 	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.eo.ucar.edu/basics/wx_2_b.html	There are many different types of precipitation —rain, snow, hail, and sleet for example—yet they all have a few things in common.	2
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.eo.ucar.edu/basics/wx_2_b.html	Sleet forms when raindrops freeze into ice as they fall to the ground.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.earthgauge.net/2013/rain-freezing-rain-sleet-snow-whats-the-difference	Depending on where you live, winter can bring many different forms of precipitation, including rain, freezing rain, sleet and snow.	2
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.earthgauge.net/2013/rain-freezing-rain-sleet-snow-whats-the-difference	Rain forms when growing cloud droplets, ice or snow crystals in clouds collide with each other, become too heavy to stay aloft and fall to the surface as precipitation.	1
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://en.wikipedia.org/wiki/Precipitation	The main forms of precipitation include drizzle, rain, sleet, snow, graupel and hail.	2
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://en.wikipedia.org/wiki/Precipitation	Precipitation is a major component of the water cycle, and is responsible for depositing the fresh water on the planet.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.primermagazine.com/2010/field-manual/the-difference-between-snow-freezing-rain-sleet-and-hail	Snow, in turn, is a softer version of hail that gets cold earlier and stays cold longer (in the air) when compared to freezing rain.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://ww2.valdosta.edu/~clmaxwell/topic.html	Each type of precipitation are different and form under different weather conditions.	0
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://ww2.valdosta.edu/~clmaxwell/topic.html	Snow - precipitation that remains frozen from the cloud to the ground.	1
44	Is it true that sleet, rain, snow, and hail are forms of precipitation? 	precipitation	http://www.metoffice.gov.uk/learning/rain/what-is-precipitation	The definition of precipitation is any form of water - liquid or solid - falling from the sky.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.scienceclarified.com/Mu-Oi/Nutrition.html	The term nutrition refers to the sum total of all the processes by which an organism takes in and makes use of the foods it needs to survive, grow, move, and develop.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.scienceclarified.com/Mu-Oi/Nutrition.html	While green plants get the energy they need directly from sunlight, animals must get the energy they need for life functions from plants.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://assessment.aaas.org/topics/ME#/	All organisms need food as a source of molecules that provide chemical energy and building materials.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://assessment.aaas.org/topics/ME#/	All organisms, including plants and animals, have mechanisms for storing molecules from food for later use. 	0
46	Is it true that animals get energy for growth and repair from food? 	food	http://leavingbio.net/nutrition%20and%20food_files/nutrition%20and%20food.htm	Living organisms need food for energy, growth, repair, defence and reproduction and for metabolism.	2
46	Is it true that animals get energy for growth and repair from food? 	food	http://leavingbio.net/nutrition%20and%20food_files/nutrition%20and%20food.htm	Nutrition is the way living things obtain and use food.	0
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.bbc.co.uk/schools/gcsebitesize/science/add_ocr_gateway/green_world/photosynthesisrev1.shtml	Plants make their own food by photosynthesis.	0
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.bbc.co.uk/schools/gcsebitesize/science/add_ocr_gateway/green_world/photosynthesisrev1.shtml	It is used to make cellulose for cell walls, and proteins for growth and repair.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.fao.org/docrep/007/y5740e/y5740e04.htm	Foods provide nutrients so we can grow and be active and healthy	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.fao.org/docrep/007/y5740e/y5740e04.htm	The best way to make sure that we get enough of each nutrient and enough energy is to eat a mixture of foods.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.fao.org/docrep/w0073e/w0073e04.htm	Food serves mainly for growth, energy and body repair, maintenance and protection.	2
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.fao.org/docrep/w0073e/w0073e04.htm	Proteins are necessary for growth and development of the body.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.aspca.org/pet-care/dog-care/nutrients-your-dog-needs	Nutrients are substances obtained from food and used by an animal as a source of energy and as part of the metabolic machinery necessary for maintenance and growth.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.aspca.org/pet-care/dog-care/nutrients-your-dog-needs	Proteins are the basic building blocks for cells, tissues, organs, enzymes, hormones and antibodies, and are essential for growth, maintenance, reproduction and repair.	2
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.oum.ox.ac.uk/thezone/animals/life/respire.htm	The energy is needed for growth, repair and movement. 	0
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.oum.ox.ac.uk/thezone/animals/life/respire.htm	During normal human respiration, glucose (a type of sugar that you get from food) reacts with oxygen to produce energy.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.whfoods.com/genpage.php?dbid=19&tname=faq	In addition, certain nutrients also protect your cells from damage, and nutrients in foods support your body's energy production machinery. 	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.whfoods.com/genpage.php?dbid=19&tname=faq	One of the most comprehensive food sources for nutrients that support healthy cells is whole grains.	0
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.nutristrategy.com/nutritioninfo2.htm	CALORIES are needed to provide energy so the body functions properly.	1
46	Is it true that animals get energy for growth and repair from food? 	food	http://www.nutristrategy.com/nutritioninfo2.htm	The number of calories in a food depends on the amount of energy the food provides.	1
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	https://www.beloit.edu/sepm/Water_Works/density_currents.html	The marble rolls quickly to the bottom of the bowl, and then it rolls back and forth, gradually slowing, until it stops.	0
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	https://answers.yahoo.com/question/index?qid=20070511012243AArOl8P	Because of gravity, the marble will want to go down to the botton of the glass.	2
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	https://answers.yahoo.com/question/index?qid=20070511012243AArOl8P	the marble will sink because of gravity, but since it's also fealing the force of the water trying to displace it, it will sink at a very slow rate.	2
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	http://www.csulb.edu/~lhenriqu/300demo.htm	The weight of an object is not a factor. 	0
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	http://www.csulb.edu/~lhenriqu/300demo.htm	The force of gravity is pulling downwards on the ball.	1
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	http://www.newton.dep.anl.gov/askasci/phy00/phy00291.htm	Because the water is pulled (by gravity) towards the earth with more force than the item it flows around the item and pushes it out of the way so that it is closer to the earth.	0
49	Is it true that gravity causes a marble to sink to the bottom of a glass of water? 	gravity	http://www.newton.dep.anl.gov/askasci/phy00/phy00291.htm	It is not just how heavy something is that makes it float or sink	0
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://www.universetoday.com/59707/what-causes-day-and-night/	Day and night is caused by the rotation of the Earth about its axis.	2
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://www.universetoday.com/59707/what-causes-day-and-night/	Of course, since the Earth is rotating, the illuminated places will not be illuminated forever.	1
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	https://answers.yahoo.com/question/index?qid=20130102173458AALlGLu	The actual Earth's rotation axis is tilted, which only changes the amounts of daylight and darkness in each day.	1
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	https://answers.yahoo.com/question/index?qid=20130102173458AALlGLu	Day and night is caused by the rotation of the earth on it's axis, not the tilt.	2
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://en.wikipedia.org/wiki/Earth%27s_rotation	Earth's rotation period relative to the Sun (true noon to true noon) is its true solar day or apparent solar day.	1
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://en.wikipedia.org/wiki/Earth%27s_rotation	the apparent movement of the stars is a relative motion caused by the rotation of the earth.	0
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://wiki.answers.com/Q/Why_does_rotation_cause_day_and_night	It is well known that the rotation of planet Earth is gradually slowing.	0
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://www.climatechangematters.net.au/LOTS/Earth/sub/daynight/daynight.htm	Day and night are caused by the rotation of the Earth on its axis.	2
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://www.climatechangematters.net.au/LOTS/Earth/sub/daynight/daynight.htm	Although the Earth rotates once every 24 hours on its polar axis through the North and South Poles, day and night do not share the 24 hours equally	1
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://www.kidport.com/reflib/science/space/Earth.htm	The movement of the Earth around the Sun in a fixed orbit is called as revolving.	0
55	Is it true that rotation of Earth causes day and night? 	rotation of Earth	http://www.kidport.com/reflib/science/space/Earth.htm	The Earth also rotates, or spins, on its axis.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://chem.answers.com/reactions/what-happens-when-an-ice-cube-is-melting	The transferral of this heat energy causes the bonds between the H2O particles in the ice cubes to break down, causing the ice to melt.	2
4	Is it true that heat causes an ice cube to melt? 	heat	http://chem.answers.com/reactions/what-happens-when-an-ice-cube-is-melting	When ice cubes are exposed to the air or placed into a drink, heat energy is transferred from the surrounding particles to the ice cube.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://chem.answers.com/reactions/what-happens-when-an-ice-cube-is-melting	Eventually, when sufficient heat energy has been transferred to the ice cubes, the vibrations become so strong that the bonds between the particles begin to break down, causing the ice cubes to melt.	2
4	Is it true that heat causes an ice cube to melt? 	heat	http://chem.answers.com/reactions/what-happens-when-an-ice-cube-is-melting	The melting of ice cubes may occur almost everywhere you look, but they are an excellent, and often overlooked, example of chemical processes.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.answers.com/mt/ice-cube	The hotter the temperature, the faster the ice cube will melt.	1
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.answers.com/mt/ice-cube	At sufficiently high temperatures (surely room temperature but possibly much lower), the cubes will join because they are already starting to melt at the surfaces exposed to the air.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.answers.com/mt/ice-cube	Ice cube on metal melts faster than an ice cube on wood because metal is a conductor and wood is an insulator.	1
4	Is it true that heat causes an ice cube to melt? 	heat	http://cnx.org/content/m42225/latest/?collection=col11406/latest	No temperature change occurs from heat transfer if ice melts and becomes liquid water (i.e., during a phase change).	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://cnx.org/content/m42225/latest/?collection=col11406/latest	Heat from the air transfers to the ice causing it to melt.	2
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.ehow.com/facts_7485740_ice-cube-melt.html	Ice begins to melt when its temperature exceeds 0 degrees Celsius and hydrogen bonds between water molecules break.	1
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.ehow.com/facts_7485740_ice-cube-melt.html	Ice melts when heat energy causes the molecules to move faster, breaking the hydrogen bonds between molecules to form liquid water.	2
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.ehow.com/facts_7485740_ice-cube-melt.html	This is why an ice cube melts more quickly on the outside and retains its coldness and solidity longer at the center: melting is a cooling process.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.theweatherprediction.com/habyhints/19/	In order for ice to go from an ice to a liquid state, energy must be added to cause the ice to go from a higher state to a lower ordered state.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://www.theweatherprediction.com/habyhints/19/	When water (in any of the three phrases) moves from a higher to a lower ordered state, the air surrounding the H20 will have heat subtracted from it.	1
4	Is it true that heat causes an ice cube to melt? 	heat	http://drinks.seriouseats.com/2013/06/cocktail-science-myths-about-ice-big-cubes-are-better-dry-shaking-whiskey-dilution.html	When hot water freezes, it moves around more due to convection, which can actually help to prevent supercooling and "encourage" the water to freeze closer to 0°C.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://drinks.seriouseats.com/2013/06/cocktail-science-myths-about-ice-big-cubes-are-better-dry-shaking-whiskey-dilution.html	Then what happens is that the big ice starts cooling the atmosphere instead of your drink and you get additional dilution with no added chilling.	0
4	Is it true that heat causes an ice cube to melt? 	heat	http://drinks.seriouseats.com/2013/06/cocktail-science-myths-about-ice-big-cubes-are-better-dry-shaking-whiskey-dilution.html	A mixture of water and ethanol has a lower freezing point than water by itself, so the incredible cooling power of melting ice *can* take a drink below 0°C.	0
