qid	question	focus	sid	url	sentence	annotationOpt
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	4	http://www.brainpop.com/educators/community/bp-jr-topic/needs-and-wants/	Movies and Interactive Directory Needs and Wants Lesson Ideas What do people need to survive? We need air, food, water, shelter, and clothing.	?	0.8408
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Background Information In order to survive, animals need air, water, food, and shelter (protection from predators and the environment); plants need air, water, nutrients, and light.	?	0.8408
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Air, water, and food are m metabolic requirements for survival in all animals, including humans.	?	0.7622
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Tell students to show their pet enjoying food, water, air, and shelter -- having all its needs met.	?	0.7622
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	4	http://www.brainpop.com/educators/community/bp-jr-topic/needs-and-wants/	resources to identify the things that humans need in order to survive.	?	0.7164
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Only scyphozoan jellyfish belonging to the order Rhizostomeae are harvested for food; about 12 of the approximately 85 species.	?	0.7164
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5C (Grades: 6-8 ): Cells 5C/P2 ( Grades: K-2 ): Most living things need water, food, and air.	?	0.7146
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Like familiar organisms, they need food, water, and air; a way to dispose of waste; and an environment they can live in.	?	0.7146
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5E (Grades: 6-8 ): Flow of Matter and Energy 5E/P1 ( Grades: K-2 ): Plants and animals both need to take in water, and animals need to take in food.	?	0.7146
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5E (Grades: K-2 ): Flow of Matter and Energy 5E/P1 (Grades: K-2 ): Plants and animals both need to take in water, and animals need to take in food.	?	0.7146
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	Need land? Or can survive underwater? And a few more questions!? - Yahoo Answers Yahoo Answers: Answers and Comments for Fiddler Crabs.	?	0.6854
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Some species are capable of remaining active for a month without food and are able to survive on limited resources, such as the glue from the back of postage stamps.	?	0.6205
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Some cockroaches have been known to live up to three months without food and a month without water.	?	0.6205
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Polar bears hunt primarily at the interface between ice, water, and air; they only rarely catch seals on land or in open water.	?	0.6205
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Jellyfish are better able to survive in nutrient-rich, oxygen-poor water than competitors, and thus can feast on plankton without competition.	?	0.6205
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Rising sea temperatures caused by climate change may also contribute to jellyfish blooms, because many species of jellyfish are relatively better able to survive in warmer waters.	?	0.6205
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	These home aquariums generate this special water flow pattern using an air-lift pump and require special food for the jellyfish, which can be shipped from suppliers to their final destination.	?	0.6205
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	Last question, people say you need to cycle your tank in order for the animals to survive.	?	0.6069
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	(August 2011) citation needed] Other cockroaches will follow these trails to discover sources of food and water, and also discover where other cockroaches are hiding.	?	0.5854
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5D (Grades: 3-5 ): Interdependence of Life 5D/M4 ( Grades: 6-8 ): All organisms, both land-based and aquatic, are interconnected by their need for food.	?	0.5854
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5D (Grades: 6-8 ): Interdependence of Life 5E/E1 ( Grades: 3-5 ): Almost all kinds of animals' food can be traced back to plants.	?	0.5854
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	All animals, including humans, are consumers, which obtain food by eating other organisms.	?	0.5854
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	8	http://curiosity.discovery.com/question/take-dead-body-to-decompose	Bacteria need oxygen to survive and are generally found in heavy concentrations in water.	?	0.5854
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	4	http://www.brainpop.com/educators/community/bp-jr-topic/needs-and-wants/	Is a toy car a need or a want? Find out how producers and consumers work together to buy and sell goods and services.	?	0.5808
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Other scientists prefer to use the more all-encompassing term gelatinous zooplankton, when referring to these, together with other soft-bodied animals in the water column.	?	0.5808
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Jellyfish achieved a 48 percent lower cost of transport (the amount of food and oxygen consumed, versus energy spent in movement) than other animals in similar studies.	?	0.5808
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	I have a tank (5 gal) where it comes with a filter that requires water to be at top level in order f...	?	0.5808
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	This need is especially strong in childhood and can override the need for safety as witnessed in children who cling to abusive parents.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Esteem All humans have a need to feel respected; this includes the need to have self-esteem and self-respect.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Self-actualization Main article: Self-actualization "What a man can be, he must be." This quotation forms the basis of the perceived need for self-actualization.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	The hatchlings are initially bright white (biology) nymphs and continue inflating themselves with air, becoming harder and darker within about four hours.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Polar bears hunt their preferred food of seals from the edge of sea ice, often living off fat reserves when no sea ice is present.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	The polar bear's claws are short and stocky compared to those of the brown bear, perhaps to serve the former's need to grip heavy prey and ice.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Hunters make sure to either toss the liver into the sea or bury it in order to spare their dogs from potential poisoning.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Insufficient nourishment leads to lower reproductive rates in adult females and lower survival rates in cubs and juvenile bears, in addition to poorer body condition in bears of all ages.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Increased human-bear interactions, including fatal attacks on humans, are likely to increase as the sea ice shrinks and hungry bears try to find food on land.	?	0.5789
